Flex1,Flex2,Flex3,Flex4,Flex5,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Gesture
63,55,1019,140,176,0.09,-0.91,0.42,1.89,0.06,-0.37,ഇ
60,55,1021,246,256,0.17,-0.73,0.65,2.87,3.48,0.18,ഉ
65,58,1023,209,232,0.27,-0.92,0.26,0.24,2.44,0.4,ഒ
65,53,1023,157,241,0.14,-0.61,0.76,2.26,4.52,-3.48,എ
65,58,1019,172,246,0.16,-0.95,0.28,2.14,0.31,-1.10,എ
64,57,1023,175,249,0.12,-0.96,0.26,2.62,1.28,-0.18,എ
66,57,1022,174,250,0.14,-0.96,0.26,0.55,3.23,-0.24,എ
64,56,1022,244,260,-0.07,-0.98,0.24,1.16,1.28,0.18,ഉ
66,59,1020,161,197,0.23,-0.91,0.33,0.06,12.08,-6.96,ഒ
66,58,1023,247,240,0.90,-0.07,-0.40,3.66,1.95,-1.83,അ
63,54,1014,243,235,0.91,-0.07,-0.40,2.08,0.12,-3.60,അ
62,57,1023,249,241,0.97,-0.01,-0.02,2.14,0.49,0.43,അ 
70,61,1022,236,225,0.07,0.83,0.50,7.39,-4.52,5.19,ന
67,60,1023,239,227,0.09,0.83,0.49,-2.69,6.47,-2.56,ന
68,60,1023,238,225,0.09,0.84,0.50,-1.71,3.48,-3.05,ന











